Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link
Cornerstone Academy of Los Angeles,2132 Hyperion Ave,Los Angeles,CA,90039,,Silver Lake,(323) 663-4703,,,No,No,5.0 star rating,2 reviews,http://www.kidsworldschool.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Middle Schools & High Schools, Tutoring Centers, Middle Schools & High Schools, Tutoring Centers",34.099466,-118.273270,,http://www.yelp.com/biz/cornerstone-academy-of-los-angeles-los-angeles?osq=Tutoring,,,,,,
Rawi Tutoring,,Simi Valley,CA,93063,,,(805) 328-3820,,Mohsin S.,Yes,No,5.0 star rating,3 reviews,http://rawitutoring.com,,Mon 8:00 am - 10:00 pm<br>Tue 8:00 am - 10:00 pm<br>Wed 8:00 am - 10:00 pm<br>Thu 8:00 am - 10:00 pm<br>Fri 8:00 am - 10:00 pm<br>Sat 10:00 am - 6:30 pm<br>Sun 10:00 am - 6:30 pm<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Private Tutors, Private Tutors",,,https://s3-media1.fl.yelpcdn.com/bphoto/-qFlCK_SyO4V5Kcmi30nRw/ls.jpg,http://www.yelp.com/biz/rawi-tutoring-simi-valley?osq=Tutoring,,,,,,
The Bruin Tutors,,Los Angeles,CA,90024,,Westwood,(424) 256-8660,,,Yes,No,,,,,Mon 9:00 am - 8:00 pm<br>Tue 9:00 am - 8:00 pm<br>Wed 9:00 am - 8:00 pm<br>Thu 9:00 am - 8:00 pm<br>Fri 9:00 am - 8:00 pm<br>Sat 9:00 am - 8:00 pm<br>Sun Closed<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tutoring Centers, Tutoring Centers",34.063145,-118.436755,https://s3-media1.fl.yelpcdn.com/bphoto/mh37L4n3HEOCvsvHKhNJig/ls.jpg,http://www.yelp.com/biz/the-bruin-tutors-los-angeles?osq=Tutoring,$105 for $120 Deal at The Bruin Tutors,You get a voucher redeemable for $120 at The Bruin Tutors.,$120,13%,$15,https://www.yelp.com/checkout/deal/a8VIOx9e2OoPArJfm9I1xQ?biz_id=y4yBpRxDDXcdi3gxJ3izzA&return_url=%2Fbiz%2Fthe-bruin-tutors-los-angeles
SHARE Educational Services,1025 Marine Ave,Gardena,CA,90247,,Torrance,(310) 977-5222,,,Yes,No,5.0 star rating,6 reviews,http://www.shareeducationalservices.com,,Mon 10:00 am - 7:00 pm<br>Tue 10:00 am - 7:00 pm<br>Wed 10:00 am - 7:00 pm<br>Thu 10:00 am - 7:00 pm<br>Fri 10:00 am - 7:00 pm<br>Sat Closed<br>Sun Closed<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Middle Schools & High Schools, Tutoring Centers, Adult Education, Middle Schools & High Schools, Tutoring Centers, Adult Education",33.894657,-118.292459,https://s3-media1.fl.yelpcdn.com/bphoto/EIB7bHlPVv45KfLV5_M7Qw/ls.jpg,http://www.yelp.com/biz/share-educational-services-gardena?osq=Tutoring,,,,,,
Hayden Lee Coaching,,Los Angeles,CA,90049,,Brentwood,(310) 826-0540,"Life Coaching, Teens, Young Adults, Motivation, Entrepreneurs, Business Owners, Educational Services, Time Management, Goal Setting, Action Plans, Self-Awareness, Confidence …Learn more about Hayden Lee Coaching, Opens a popupSpecialtiesLife Coaching, Teens, Young Adults, Motivation, Entrepreneurs, Business Owners, Educational Services, Time Management, Goal Setting, Action Plans, Self-Awareness, Confidence Building, Academic Confidence, Academic Ownership, Communication Skills with Teachers, Parents, Peers.Meet the Business Owner",Hayden L.,Yes,No,5.0 star rating,14 reviews,http://www.haydenlee.com,,Mon 8:00 am - 7:00 pm<br>Tue 8:00 am - 7:00 pm<br>Wed 8:00 am - 7:00 pm<br>Thu 8:00 am - 7:00 pm<br>Fri 8:00 am - 7:00 pm<br>Sat 10:00 am - 4:00 pm<br>Sun 10:00 am - 4:00 pm<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Educational Services, Life Coach, Career Counseling, Educational Services, Life Coach, Career Counseling, Educational Services, Life Coach, Career Counseling",34.084587,-118.498015,https://s3-media4.fl.yelpcdn.com/bphoto/25eP0chQ6T4wftH5d1aEvw/ls.jpg,http://www.yelp.com/biz/hayden-lee-coaching-los-angeles?osq=Tutoring,,,,,,
Varsity Tutors - Los Angeles,,North Hollywood,CA,91601,,North Hollywood,(310) 617-6847,,,Yes,No,4.0 star rating,42 reviews,http://www.varsitytutors.com/tutoring-los_angeles,,Mon 8:00 am - 9:00 pm<br>Tue 8:00 am - 9:00 pm<br>Wed 8:00 am - 9:00 pm<br>Thu 8:00 am - 9:00 pm<br>Fri 8:00 am - 9:00 pm<br>Sat 8:00 am - 9:00 pm<br>Sun 8:00 am - 9:00 pm<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Private Tutors, Test Preparation, Private Tutors, Test Preparation",34.165880,-118.363726,https://s3-media4.fl.yelpcdn.com/bphoto/zRbj60_DXP6giUUk3bVQCA/ls.jpg,http://www.yelp.com/biz/varsity-tutors-los-angeles-north-hollywood-2?osq=Tutoring,,,,,,
US Edu Con,3255 Wilshire Blvd Ste 1705,Los Angeles,CA,90010,,"Wilshire Center, Koreatown",(213) 738-0744,,Min Y.,Yes,No,,,http://www.useduconsulting.com,,Mon 11:00 am - 7:00 pm<br>Tue 11:00 am - 7:00 pm<br>Wed 11:00 am - 7:00 pm<br>Thu 11:00 am - 7:00 pm<br>Fri 11:00 am - 7:00 pm<br>Sat 11:00 am - 4:00 pm<br>Sun Closed<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Test Preparation, Tutoring Centers, College Counseling, Test Preparation, Tutoring Centers, College Counseling",34.062252,-118.293132,https://s3-media3.fl.yelpcdn.com/bphoto/-IHkkBcMwp9AhIbhpeXuhg/ls.jpg,http://www.yelp.com/biz/us-edu-con-los-angeles?osq=Tutoring,,,,,,
Imagescholar,1762 Westwood Blvd Ste 250,Los Angeles,CA,90024,,Westwood,(310) 474-8300,,,Yes,No,5.0 star rating,1 review,http://www.imagescholar.com,,Mon 9:00 am - 6:00 pm<br>Tue 9:00 am - 6:00 pm<br>Wed 9:00 am - 6:00 pm<br>Thu 9:00 am - 6:00 pm<br>Fri 9:00 am - 6:00 pm<br>Sat 9:00 am - 6:00 pm<br>Sun Closed<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Educational Services, Educational Services",34.050738,-118.437405,https://s3-media2.fl.yelpcdn.com/bphoto/DNrpOJTuW58FV1HmdAErQA/ls.jpg,http://www.yelp.com/biz/imagescholar-los-angeles?osq=Tutoring,,,,,,
Ivy Excel Tutors,12021 Wilshire Blvd Ste 227,Los Angeles,CA,90025,,Brentwood,(323) 207-9887,,,Yes,No,5.0 star rating,2 reviews,http://ivyexceltutors.com,,Mon 9:00 am - 8:00 pm<br>Tue 9:00 am - 8:00 pm<br>Wed 9:00 am - 8:00 pm<br>Thu 9:00 am - 8:00 pm<br>Fri 9:00 am - 8:00 pm<br>Sat 9:00 am - 8:00 pm<br>Sun 9:00 am - 8:00 pm<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Test Preparation, Private Tutors, Tutoring Centers, Test Preparation, Private Tutors, Tutoring Centers",,,https://s3-media1.fl.yelpcdn.com/bphoto/soLEMwbU-jkqLwFzTBQ8uQ/ls.jpg,http://www.yelp.com/biz/ivy-excel-tutors-los-angeles?osq=Tutoring,,,,,,
Justin Lack Drums,,Los Angeles,CA,90046,,Hollywood Hills West,(773) 220-6141,,,No,No,5.0 star rating,7 reviews,http://www.justinlackdrums.com,Inexpensive,Mon 10:00 am - 9:00 pm<br>Tue 10:00 am - 9:00 pm<br>Wed 10:00 am - 9:00 pm<br>Thu 10:00 am - 9:00 pm<br>Fri 10:00 am - 9:00 pm<br>Sat 10:00 am - 9:00 pm<br>Sun 10:00 am - 9:00 pm<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Private Tutors, Musical Instruments & Teachers, Private Tutors, Musical Instruments & Teachers",34.114731,-118.363726,https://s3-media3.fl.yelpcdn.com/bphoto/ayZkbb-Ayhx_EDhRcon1Gw/ls.jpg,http://www.yelp.com/biz/justin-lack-drums-los-angeles?osq=Tutoring,,,,,,
Empower Your Mind Tutoring,,Marina Del Rey,CA,90292,,,(310) 384-8046,"Empower Your Mind Tutoring offers tutoring for all subjects, grades, and ages in the greater Los Angeles area.Learn more about Empower Your Mind Tutoring, Opens a popupSpecialtiesEmpower Your Mind Tutoring offers tutoring for all subjects, grades, and ages in the greater Los Angeles area.Meet the Business Owner",Kami L.,Yes,No,5.0 star rating,10 reviews,http://www.eymtutoring.com/,,Mon 8:00 am - 9:00 pm<br>Tue 8:00 am - 9:00 pm<br>Wed 8:00 am - 9:00 pm<br>Thu 8:00 am - 9:00 pm<br>Fri 8:00 am - 9:00 pm<br>Sat 8:00 am - 8:00 pm<br>Sun 8:00 am - 8:00 pm<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Private Tutors, Test Preparation, Private Tutors, Test Preparation",,,https://s3-media2.fl.yelpcdn.com/bphoto/7fparcku3oK1d60y4Rp_PA/ls.jpg,http://www.yelp.com/biz/empower-your-mind-tutoring-marina-del-rey?osq=Tutoring,,,,,,
The Learning Center,,Los Angeles,CA,90024,,Westwood,(310) 592-7501,,,Yes,No,,,http://www.thelearningcenterla.com,,Mon 8:00 am - 11:00 pm<br>Tue 8:00 am - 11:00 pm<br>Wed 8:00 am - 11:00 pm<br>Thu 8:00 am - 11:00 pm<br>Fri 8:00 am - 11:00 pm<br>Sat 8:00 am - 11:00 pm<br>Sun 8:00 am - 11:00 pm<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Test Preparation, Tutoring Centers, Private Tutors, Test Preparation, Tutoring Centers, Private Tutors",34.063145,-118.436755,,http://www.yelp.com/biz/the-learning-center-los-angeles?osq=Tutoring,,,,,,
Perfect Score Academy,16842 Devonshire St,Granada Hills,CA,91344,,North Hills,(818) 775-1500,,,Yes,No,5.0 star rating,8 reviews,http://www.perfectscoreacademy.com,,Mon Closed<br>Tue 1:00 pm - 8:00 pm<br>Wed 1:00 pm - 8:00 pm<br>Thu 1:00 pm - 8:00 pm<br>Fri 1:00 pm - 8:00 pm<br>Sat 8:30 am - 5:00 pm<br>Sun Closed<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tutoring Centers, Test Preparation, Tutoring Centers, Test Preparation",34.257332,-118.502122,https://s3-media4.fl.yelpcdn.com/bphoto/WOUJr8P4KSUN1UejZC2t7A/ls.jpg,http://www.yelp.com/biz/perfect-score-academy-granada-hills-2?osq=Tutoring,,,,,,
Good Spirit Tutors,2021 Peyton Ave,Burbank,CA,91504,,Burbank,(323) 839-3284,,,Yes,No,5.0 star rating,6 reviews,http://www.goodspirittutors.com,,Mon 3:00 pm - 8:00 pm<br>Tue 3:00 pm - 8:00 pm<br>Wed 3:00 pm - 8:00 pm<br>Thu 3:00 pm - 8:00 pm<br>Fri 3:00 pm - 8:00 pm<br>Sat 9:00 am - 8:00 pm<br>Sun 9:00 am - 8:00 pm<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Private Tutors, Private Tutors",34.196515,-118.330211,https://s3-media2.fl.yelpcdn.com/bphoto/0dHNIVenkv4gtNFVQDkRwg/ls.jpg,http://www.yelp.com/biz/good-spirit-tutors-burbank?osq=Tutoring,,,,,,
Diamond Vocal Studios,Larchmont Sq,Los Angeles,CA,90004,,Larchmont,(323) 466-7881,,,No,No,5.0 star rating,1 review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Private Tutors, Musical Instruments & Teachers, Private Tutors, Musical Instruments & Teachers",34.078556,-118.323650,https://s3-media1.fl.yelpcdn.com/bphoto/RDfUjQFeqicmBH--5X-b_Q/ls.jpg,http://www.yelp.com/biz/diamond-vocal-studios-los-angeles?osq=Tutoring,,,,,,
South Bay Tutors,,Torrance,CA,90505,,Torrance,(310) 720-0174,"South Bay Tutors is an in home tutoring network.We are each proficient in our subjects and in explanation skills.Our web site has a profile of each tutor, and you may interview …Learn more about South Bay Tutors, Opens a popupSpecialtiesSouth Bay Tutors is an in home tutoring network.We are each proficient in our subjects and in explanation skills.Our web site has a profile of each tutor, and you may interview them on the phone prior to setting up a lesson if you wish to do so.We cover all K-12 subjects, including chemistry, algebra, geometry, calculus, physics, biology, Spanish, English, SAT & ACT for the cities of Torrance, Redondo Beach, Manhattan Beach, Palos Verdes, Rolling Hills, and parts of West L.A such as Culver City, Playa Vista, and Santa MonicaThere is no block of lessons required. Our rates vary from 30 to 50 per hour for K-12 subject in home tutoring lessons. We strongly believe that an often overlooked factor in determining tutor/student success is the connection between student and tutor, and as such make sure each tutor has the right personality for this service.  The tutor keeps nearly all of the money he/she makes, and we only allow the very best and brightest tutors into the network.HistoryEstablished in 2004.South Bay Tutors began as PV Tutor, with just myself, Joseph Tillotson, tutoring math to families in Palos Verdes.This same year I was hired onto the Marymount College Math Faculty.I learned that aside from tutoring I had a knack for picking out highly effective tutors.This combined with some web design knowledge and South Bay Tutors was born.At first it was myself and one other tutor, and now we are about a dozen strong.Meet the Manager",,Yes,No,5.0 star rating,21 reviews,http://www.southbaytutors.com,,Mon 9:00 am - 9:00 pm<br>Tue 9:00 am - 9:00 pm<br>Wed 9:00 am - 9:00 pm<br>Thu 9:00 am - 9:00 pm<br>Fri 9:00 am - 6:00 pm<br>Sat 9:00 am - 6:00 pm<br>Sun 9:00 am - 6:00 pm<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Private Tutors, Private Tutors",,,https://s3-media3.fl.yelpcdn.com/bphoto/CnzTTl2NlzhxrepVUjXodw/ls.jpg,http://www.yelp.com/biz/south-bay-tutors-torrance?osq=Tutoring,,,,,,
Top Learning Center,2021 W Glenoaks Blvd Ste 110,Glendale,CA,91201,,Glendale,(818) 846-6477,,Christina J.,Yes,No,5.0 star rating,1 review,http://burbank.toplearningcenter.com,,Mon 1:00 pm - 7:00 pm<br>Tue 1:00 pm - 7:00 pm<br>Wed 1:00 pm - 7:00 pm<br>Thu 1:00 pm - 7:00 pm<br>Fri 1:00 pm - 7:00 pm<br>Sat Closed<br>Sun Closed<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tutoring Centers, Test Preparation, Private Tutors, Tutoring Centers, Test Preparation, Private Tutors",34.176116,-118.295870,https://s3-media1.fl.yelpcdn.com/bphoto/ePMNsAJjIpBnT3h7DB-WOQ/ls.jpg,http://www.yelp.com/biz/top-learning-center-glendale?osq=Tutoring,,,,,,
Learning Clubhouse,,Santa Monica,CA,90401,,,(310) 928-7861,,,Yes,No,,,,,Mon Open 24 hours<br>Tue Open 24 hours<br>Wed Open 24 hours<br>Thu Open 24 hours<br>Fri Open 24 hours<br>Sat Open 24 hours<br>Sun Open 24 hours<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Private Tutors, Private Tutors",,,https://s3-media2.fl.yelpcdn.com/bphoto/yFRxf_d6gxP9CwRMvriclQ/ls.jpg,http://www.yelp.com/biz/learning-clubhouse-santa-monica?osq=Tutoring,,,,,,
"Personal Bar Prep, California Bar Review Course",3300 Wilshire Blvd,Los Angeles,CA,90010,,"Wilshire Center, Koreatown",(213) 985-1977,,Jay C.,Yes,No,5.0 star rating,8 reviews,http://www.personalbarprep.com,,Mon 9:00 am - 9:00 pm<br>Tue 9:00 am - 9:00 pm<br>Wed 9:00 am - 9:00 pm<br>Thu 9:00 am - 9:00 pm<br>Fri 9:00 am - 9:00 pm<br>Sat 9:00 am - 9:00 pm<br>Sun 9:00 am - 9:00 pm<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Private Tutors, Test Preparation, Private Tutors, Test Preparation",,,https://s3-media4.fl.yelpcdn.com/bphoto/BbFfyb8WhNWsZ2rV1DU8yg/ls.jpg,http://www.yelp.com/biz/personal-bar-prep-california-bar-review-course-los-angeles-2?osq=Tutoring,,,,,,
Elite Prep Westwood,1964 Westwood Blvd Ste 150,Los Angeles,CA,90025,,West Los Angeles,(310) 470-4340,,,Yes,No,5.0 star rating,2 reviews,http://www.eliteprep.com/westwood,,Mon 8:00 am - 5:30 pm<br>Tue 8:00 am - 5:30 pm<br>Wed 8:00 am - 5:30 pm<br>Thu 8:00 am - 5:30 pm<br>Fri 8:00 am - 5:30 pm<br>Sat 8:00 am - 1:00 pm<br>Sun Closed<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tutoring Centers, Test Preparation, College Counseling, Tutoring Centers, Test Preparation, College Counseling",34.047440,-118.434445,https://s3-media3.fl.yelpcdn.com/bphoto/a4CXqDhDtphkSmsAGljnsA/ls.jpg,http://www.yelp.com/biz/elite-prep-westwood-los-angeles?osq=Tutoring,,,,,,
Math Team,6356 Van Nuys Blvd Ste 231,Los Angeles,CA,91401,,Van Nuys,(747) 234-1754,,Alek K.,Yes,No,5.0 star rating,1 review,http://www.mathteamweb.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tutoring Centers, Tutoring Centers",34.185873,-118.448408,https://s3-media1.fl.yelpcdn.com/bphoto/LTMd3ID-A_7mHwCAVhF7TQ/ls.jpg,http://www.yelp.com/biz/math-team-los-angeles-2?osq=Tutoring,,,,,,
FUJI School,244 S San Pedro St Ste 501,Los Angeles,CA,90012,,"Little Tokyo, Downtown",(213) 788-3305,"Let's study Japanese at Fuji SchoolA trial lesson (60min) is $35.After a trial lesson, there is an one time enrollment fee $50, then you may choose a group lesson or private …Learn more about FUJI School, Opens a popupSpecialtiesLet's study Japanese at Fuji SchoolA trial lesson (60min) is $35.After a trial lesson, there is an one time enrollment fee $50, then you may choose a group lesson or private lessons.Once a week course (70min x 10weeks) is $350.Twice a week course (70min x 10weeks) is $650.Private lesson(70min) is $60, however we are offering 4 private lessons at $45 a lesson.If it is not commutable distance for you,we have an Online Private Lesson as well.Online Grammar Lesson (70min) is $60Online Conversation Practice (50min) is $30Let's learn Japanese calligraphy or Japanese ArtTeacher Kuni, a 6-dan calligrapher (right below the master level) will teach you 8 Kanji with a Japanese calligraphy brush in each class.Teacher Masa, who graduated from Tokyo Art University, the most difficult art university in Japan will teach you Japanese art.A trial lesson (70min, one-on-one) is $35.After a trial lesson, there is an one time enrollment fee $50,once a week course on Wednesdays 3-4pm or up on your request.Monthly fee is $120.HistoryEstablished in 2010.We have been teaching online one-on-one lessons since 2010, then we opened the classroom style school in Los Angeles, September 2012. Since then, there are 666 registered students as of March 17, 2017.Meet the Business Owner",Ayumi F.,Yes,No,5.0 star rating,98 reviews,http://www.oh-fuji.com,,Mon 10:30 am - 9:30 pm<br>Tue 10:30 am - 9:30 pm<br>Wed 10:30 am - 9:30 pm<br>Thu 10:30 am - 9:30 pm<br>Fri 10:30 am - 9:30 pm<br>Sat 10:30 am - 7:00 pm<br>Sun 10:30 am - 7:00 pm<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Language Schools, Private Tutors, Language Schools, Private Tutors",,,https://s3-media3.fl.yelpcdn.com/bphoto/2GLY-nlL-aOmETcQkuDv2g/ls.jpg,http://www.yelp.com/biz/fuji-school-los-angeles-14?osq=Tutoring,,,,,,
Blue Train College Prep,2200 Pacific Coast Hwy Ste 102,Hermosa Beach,CA,90254,,Torrance,(310) 376-0135,"At Blue Train we help students and families with all aspects of the college process, from prepping for the SAT/ACT to submitting the last polished application. Whether you're …Learn more about Blue Train College Prep, Opens a popupSpecialtiesAt Blue Train we help students and families with all aspects of the college process, from prepping for the SAT/ACT to submitting the last polished application. Whether you're looking for unparalleled score improvement, an insider's understanding of college admissions, or simply a kind and experienced team to guide you through what should be a fun, balanced and healthy process, then you've come to the right place.Check out our website video or call today for a FREE in home Meet and Greet!HistoryEstablished in 2001.Servicing the South Bay for 14 years, we've expanded to cover the SAT/ACT, college applications, and the pesky personal statement.",,Yes,No,5.0 star rating,15 reviews,http://www.bluetraincollegeprep.com,,Mon 9:30 am - 5:30 pm<br>Tue 9:30 am - 5:30 pm<br>Wed 9:30 am - 5:30 pm<br>Thu 9:30 am - 5:30 pm<br>Fri 9:30 am - 5:30 pm<br>Sat Closed<br>Sun Closed<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Private Tutors, College Counseling, Test Preparation, Private Tutors, College Counseling, Test Preparation",,,https://s3-media4.fl.yelpcdn.com/bphoto/jJqoAVco2Q7mFvmYclmJKQ/ls.jpg,http://www.yelp.com/biz/blue-train-college-prep-hermosa-beach?osq=Tutoring,,,,,,
First To Learn,13050 San Vicente Blvd Ste 203,Los Angeles,CA,90049,,Brentwood,(310) 656-8111,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tutoring Centers, Tutoring Centers",34.048176,-118.491126,https://s3-media3.fl.yelpcdn.com/bphoto/qha7ARM7hCCwH1zc5r6b2g/ls.jpg,http://www.yelp.com/biz/first-to-learn-los-angeles?osq=Tutoring,,,,,,
Pete Riley’s Math Tutoring,2870 Los Feliz Pl Ste 4,Los Angeles,CA,90039,,Atwater Village,(323) 559-1827,,Pete R.,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tutoring Centers, Tutoring Centers, Tutoring Centers",34.126255,-118.262432,https://s3-media2.fl.yelpcdn.com/bphoto/GA1OWECcHYYc48x6bMjjSg/ls.jpg,http://www.yelp.com/biz/pete-rileys-math-tutoring-los-angeles?osq=Tutoring,,,,,,
Pride Learning Center,11777 San Vicente Blvd Ste 129,Brentwood,CA,90049,,Brentwood,(866) 774-3342,,,Yes,No,1.0 star rating,1 review,http://www.pridelearningcenter.com,,Mon 9:00 am - 5:00 pm<br>Tue 9:00 am - 5:00 pm<br>Wed 9:00 am - 5:00 pm<br>Thu 9:00 am - 5:00 pm<br>Fri 9:00 am - 5:00 pm<br>Sat Closed<br>Sun Closed<br>,,,,,,Private Lot,,,,,,,,,,,,,,,,,Yes,,,,"Summer Camps, Special Education, Private Tutors, Summer Camps, Special Education, Private Tutors",,,https://s3-media3.fl.yelpcdn.com/bphoto/OQk3PMZQgZojsOpAKyj1Jw/ls.jpg,http://www.yelp.com/biz/pride-learning-center-brentwood-2?osq=Tutoring,,,,,,
Kristen K - NextGuru Tutoring,,Los Angeles,CA,90028,,Hollywood,(650) 458-7033,,Kristen K.,Yes,No,,,http://www.nextguru.com/LittleSmarties,,Mon 9:00 am - 9:00 pm<br>Tue 9:00 am - 9:00 pm<br>Wed 9:00 am - 9:00 pm<br>Thu 9:00 am - 9:00 pm<br>Fri 9:00 am - 9:00 pm<br>Sat 9:00 am - 9:00 pm<br>Sun Closed<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Private Tutors, Private Tutors",,,https://s3-media3.fl.yelpcdn.com/bphoto/5YDkb3gIwBnV6o4-Mi8p-g/ls.jpg,http://www.yelp.com/biz/kristen-k-nextguru-tutoring-los-angeles?osq=Tutoring,,,,,,
ALOHA Mind Math,4282 Wilshire Blvd Ste 103-B,Los Angeles,CA,90010,,Windsor Square,(323) 456-3109,,,Yes,No,,,,,Mon 4:30 pm - 8:00 pm<br>Tue 4:30 pm - 8:00 pm<br>Wed 4:30 pm - 8:00 pm<br>Thu 4:30 pm - 8:00 pm<br>Fri 4:30 pm - 8:00 pm<br>Sat 10:00 am - 2:00 pm<br>Sun Closed<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tutoring Centers, Private Tutors, Tutoring Centers, Private Tutors",34.061797,-118.321406,https://s3-media1.fl.yelpcdn.com/bphoto/p2MwkVpCW1a2FjXYgB48eA/ls.jpg,http://www.yelp.com/biz/aloha-mind-math-los-angeles?osq=Tutoring,,,,,,
Sara Leib’sVoice Studio LA,,Los Angeles,CA,90019,,Mid-Wilshire,(424) 781-7464,"Sara Leib is a voice teacher and coach who specializes in contemporary music styles.Sara is a knowledgeable, enthusiastic teacher who works to help singer of popular styles of …Learn more about Sara Leib’sVoice Studio LA, Opens a popupSpecialtiesSara Leib is a voice teacher and coach who specializes in contemporary music styles.Sara is a knowledgeable, enthusiastic teacher who works to help singer of popular styles of music hone their technique and keep their voices in shape.Leib has performed and taught on 5 continents,and as a studio and session singer Sara has sung for the WB, Hum Music, the N Network, the NBA, and on the Academy Awards.For voice lessons and singing lessons, look no further!Lessons cover but are not limited to:Breath Control and SupportRhythmTuning and ControlResonance/PlacementMusicianshipEar TrainingEmoting/Expression/Lyrical ContentImprovisationSara teaches private lessons out of her Los Angeles studio in the Mid-Wilshire area of Los Angeles, CA, U.S.A.Sara's area of specialty include:PopJazzR & BSoulBridging the breaks between the lower and upper registers.Learning to read, write, and communicate music to others.Musical chart-writing.Work with crossover artistsJazz ImprovisationHistoryEstablished in 2010.In 2010, Sara opened Voice Studio LA while at the same time launching the internet's most interactive and easy-to-understand voice lesson website, SingingTV.com.While Voice Studio LA caters to those who are looking for one-on-one, highly individualized voice lessons and coaching, Sara's passion for teaching has made SingingTV a huge success, with over 8000 Youtube subscribers, allowing Leib to demystify singing techniques for the masses, and for free to the public!Sara has given master classes and workshops in voice and vocal improvisation internationally, twice served as a panelist for the NARAS Foundation's Grammy In The Schools, and has performed at the Academy Awards, been heard as the voice of of a Coffeemate commercial, and sung for the NBA, the WB, and much more. Leib holds degrees from the Berklee College of Music, New England Conservatory, and University of Southern California.Meet the Business Owner",Sara L.,Yes,No,5.0 star rating,14 reviews,http://www.voicestudiola.com,Moderate,Mon Closed<br>Tue Closed<br>Wed 10:00 am - 7:00 pm<br>Thu Closed<br>Fri 10:00 am - 6:00 pm<br>Sat 10:00 am - 7:00 pm<br>Sun Closed<br>,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,"Performing Arts, College Counseling, Musical Instruments & Teachers, Performing Arts, College Counseling, Musical Instruments & Teachers",34.048928,-118.340351,https://s3-media3.fl.yelpcdn.com/bphoto/4xJnxGw0rEHcNK7pUBBt5A/ls.jpg,http://www.yelp.com/biz/sara-leibs-voice-studio-la-los-angeles?osq=Tutoring,,,,,,
Manhattan Review GMAT GRE LSAT Prep & Admissions Consulting,900 W Olympic Blvd,Los Angeles,CA,90015,,Downtown,(310) 402-5117,,,No,No,3.0 star rating,2 reviews,http://www.manhattanreview.com/los-angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Test Preparation, Test Preparation",34.044926,-118.269088,,http://www.yelp.com/biz/manhattan-review-gmat-gre-lsat-prep-and-admissions-consulting-los-angeles?osq=Tutoring,,,,,,
Inlight Photography Workshop,435 E Pedregosa St,Los Angeles,CA,,,,(805) 390-0531,,Lindsey B.,Yes,No,5.0 star rating,4 reviews,http://www.inlightphotoworkshops.com,,Mon 9:00 am - 5:00 pm<br>Tue 9:00 am - 5:00 pm<br>Wed 9:00 am - 5:00 pm<br>Thu 9:00 am - 5:00 pm<br>Fri 9:00 am - 5:00 pm<br>Sat 9:00 am - 5:00 pm<br>Sun 9:00 am - 5:00 pm<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Photography Stores & Services, Art Classes, Private Tutors, Photography Stores & Services, Art Classes, Private Tutors",34.053490,-118.245323,https://s3-media2.fl.yelpcdn.com/bphoto/pLI3jr-Aal6S5w4nmnDgyA/ls.jpg,http://www.yelp.com/biz/inlight-photography-workshop-los-angeles?osq=Tutoring,,,,,,
